node_number;x[m];y[m];z[m]
6682.0;8.8;9.1;-0.250582483254
6683.0;8.8;9.2;-0.272196945711
6684.0;8.8;9.3;-0.293647507704
6685.0;8.8;9.4;-0.315032283126
6686.0;8.8;9.5;-0.33648676815
6687.0;8.8;9.6;-0.358011893903
6688.0;8.8;9.7;-0.379529723512
6689.0;8.8;9.8;-0.401011847351
6690.0;8.8;9.9;-0.422482481859
6691.0;8.8;10.0;-0.443958910561
6692.0;8.9;8.1;-0.0965121959086
6693.0;8.9;8.2;-0.108451311343
6694.0;8.9;8.3;-0.121359010434
6695.0;8.9;8.4;-0.135460907648
6696.0;8.9;8.5;-0.151103755326
6697.0;8.9;8.6;-0.168422132063
6698.0;8.9;8.7;-0.187291015265
6699.0;8.9;8.8;-0.207413485444
6700.0;8.9;8.9;-0.228264062577
6701.0;8.9;9.0;-0.249255092374
6702.0;8.9;9.1;-0.270107921341
6703.0;8.9;9.2;-0.29087703662
6704.0;8.9;9.3;-0.311657579404
6705.0;8.9;9.4;-0.332451253387
6706.0;8.9;9.5;-0.353250524028
6707.0;8.9;9.6;-0.374062701882
6708.0;8.9;9.7;-0.394878206127
6709.0;8.9;9.8;-0.41568293725
6710.0;8.9;9.9;-0.436480023038
6711.0;8.9;10.0;-0.45727980851
6712.0;9.0;8.1;-0.113685500351
6713.0;9.0;8.2;-0.126149410788
6714.0;9.0;8.3;-0.13967227679
6715.0;9.0;8.4;-0.154513373685
6716.0;9.0;8.5;-0.171057469392
6717.0;9.0;8.6;-0.189295041113
6718.0;9.0;8.7;-0.208758384979
6719.0;9.0;8.8;-0.228897795208
6720.0;9.0;8.9;-0.249255092373
6721.0;9.0;9.0;-0.269496403708
6722.0;9.0;9.1;-0.289550572428
6723.0;9.0;9.2;-0.309578448646
6724.0;9.0;9.3;-0.329699984674
6725.0;9.0;9.4;-0.349866061611
6726.0;9.0;9.5;-0.370003412291
6727.0;9.0;9.6;-0.390114574822
6728.0;9.0;9.7;-0.410228645456
6729.0;9.0;9.8;-0.430350923551
6730.0;9.0;9.9;-0.450474477519
6731.0;9.0;10.0;-0.470598551495
6732.0;9.1;8.1;-0.132135658806
6733.0;9.1;8.2;-0.144979904648
6734.0;9.1;8.3;-0.159290487767
6735.0;9.1;8.4;-0.175203967482
6736.0;9.1;8.5;-0.192703139087
6737.0;9.1;8.6;-0.211488010023
6738.0;9.1;8.7;-0.230967437779
6739.0;9.1;8.8;-0.250582483252
6740.0;9.1;8.9;-0.270107921339
6741.0;9.1;9.0;-0.289550572427
6742.0;9.1;9.1;-0.308953641207
6743.0;9.1;9.2;-0.328359485477
6744.0;9.1;9.3;-0.347801688727
6745.0;9.1;9.4;-0.367267744256
6746.0;9.1;9.5;-0.38672255599
6747.0;9.1;9.6;-0.406158834881
6748.0;9.1;9.7;-0.425593186498
6749.0;9.1;9.8;-0.44503493184
6750.0;9.1;9.9;-0.464479710071
6751.0;9.1;10.0;-0.483923108473
6752.0;9.2;8.1;-0.151896400952
6753.0;9.2;8.2;-0.165364504669
6754.0;9.2;8.3;-0.180579118887
6755.0;9.2;8.4;-0.197464604154
6756.0;9.2;8.5;-0.215569406256
6757.0;9.2;8.6;-0.234367964019
6758.0;9.2;8.7;-0.25336032738
6759.0;9.2;8.8;-0.27219694571
