Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
214;1;1.050;-1.350;-3.661;-0.09;-0.03;-0.01;-0.06;0.13;1.19;-16.19;-0.19
215;1;1.050;-1.450;-3.680;-0.08;-0.04;-0.01;-0.09;0.13;1.33;-15.77;-0.10
216;1;1.050;-1.550;-3.698;-0.08;-0.05;-0.01;-0.10;0.14;1.45;-15.37;0.06
217;1;1.050;-1.650;-3.717;-0.08;-0.06;-0.01;-0.12;0.14;1.56;-14.97;0.26
218;1;1.050;-1.750;-3.735;-0.07;-0.07;-0.01;-0.13;0.14;1.65;-14.55;0.50
219;1;1.050;-1.850;-3.754;-0.07;-0.07;-0.01;-0.15;0.14;1.73;-14.11;0.78
220;1;1.050;-1.950;-3.772;-0.06;-0.08;-0.01;-0.16;0.13;1.81;-13.63;1.08
221;1;1.150;-0.050;-3.446;0.06;-0.01;0.12;1.06;-0.33;-12.00;-24.13;12.12
222;1;1.150;-0.150;-3.464;0.01;0.02;0.09;0.72;-0.24;-8.21;-23.04;9.06
223;1;1.150;-0.250;-3.482;-0.02;0.03;0.07;0.50;-0.18;-5.57;-22.09;6.79
224;1;1.150;-0.350;-3.500;-0.03;0.03;0.05;0.33;-0.11;-3.77;-21.21;5.12
225;1;1.150;-0.450;-3.518;-0.04;0.03;0.04;0.22;-0.02;-2.53;-20.46;3.79
226;1;1.150;-0.550;-3.535;-0.05;0.02;0.03;0.17;0.04;-1.66;-19.76;2.76
227;1;1.150;-0.650;-3.553;-0.06;0.02;0.02;0.13;0.07;-0.99;-19.11;1.95
228;1;1.150;-0.750;-3.571;-0.07;0.01;0.01;0.10;0.10;-0.44;-18.51;1.30
229;1;1.150;-0.850;-3.589;-0.08;0.00;0.01;0.08;0.11;0.03;-17.97;0.81
230;1;1.150;-0.950;-3.607;-0.08;-0.01;0.00;0.05;0.12;0.43;-17.46;0.44
231;1;1.150;-1.050;-3.625;-0.09;-0.02;0.00;0.03;0.13;0.78;-17.00;0.18
232;1;1.150;-1.150;-3.642;-0.09;-0.02;0.00;0.00;0.13;1.07;-16.59;0.03
