element_number;x[m];y[m];z_middle[m];t[mm]
615.0;0.65;1.95;0.567120461566;66.7900444146
616.0;0.75;0.05;0.222689036376;189.770427759
617.0;0.75;0.15;0.233534170605;167.439395239
618.0;0.75;0.25;0.244610131513;145.130310168
619.0;0.75;0.35;0.257262221093;126.455154559
620.0;0.75;0.45;0.271698425534;111.140410247
621.0;0.75;0.55;0.287129927253;97.782714005
622.0;0.75;0.65;0.303537487146;86.6599167741
623.0;0.75;0.75;0.321642271012;78.8837443175
624.0;0.75;0.85;0.341638560808;74.4761242518
625.0;0.75;0.95;0.362917410266;72.5946198966
626.0;0.75;1.05;0.384800150391;72.0687407981
627.0;0.75;1.15;0.406838320426;71.9742463229
628.0;0.75;1.25;0.428705058859;71.5656395097
629.0;0.75;1.35;0.450387277145;70.7426547804
630.0;0.75;1.45;0.472180052887;70.0880875836
631.0;0.75;1.55;0.494211413943;69.9217708277
632.0;0.75;1.65;0.516249078535;69.8087152502
633.0;0.75;1.75;0.53814383883;69.4116104797
634.0;0.75;1.85;0.560009638305;68.9455391619
635.0;0.75;1.95;0.581830396827;68.4002872229
636.0;0.85;0.05;0.237874250552;166.460900506
637.0;0.85;0.15;0.249200115057;146.46389882
638.0;0.85;0.25;0.261196751248;127.280317138
639.0;0.85;0.35;0.274325783958;110.637512748
640.0;0.85;0.45;0.288882223924;97.0804436419
641.0;0.85;0.55;0.304902580514;86.4394264872
642.0;0.85;0.65;0.322460262344;78.8665224548
643.0;0.85;0.75;0.341638230757;74.4754023201
644.0;0.85;0.85;0.362177071821;72.6854453336
645.0;0.85;0.95;0.383425980919;72.1880450972
646.0;0.85;1.05;0.404782738686;72.0233870128
647.0;0.85;1.15;0.425999171119;71.6641668722
