element_number;x[m];y[m];t[mm]
415.0;1.0;-3.8;60.8133886926
416.0;1.4;-2.2;63.3305787823
417.0;1.4;-2.6;61.5946368885
418.0;1.4;-3.0;61.1374485447
419.0;1.4;-3.4;61.1469070744
420.0;1.4;-3.8;61.1420209754
421.0;1.8;-2.2;61.8802208336
422.0;1.8;-2.6;61.4169550636
423.0;1.8;-3.0;61.4280209052
424.0;1.8;-3.4;61.4173427077
425.0;1.8;-3.8;61.4077937111
426.0;2.2;-0.2;65.5597705833
427.0;2.2;-0.6;65.1798402316
428.0;2.2;-1.0;64.7890826638
429.0;2.2;-1.4;63.3305748415
430.0;2.2;-1.8;61.8802270167
431.0;2.2;-2.2;61.623314037
432.0;2.2;-2.6;61.6356731605
433.0;2.2;-3.0;61.6348973647
434.0;2.2;-3.4;61.6316567724
435.0;2.2;-3.8;61.6293126148
436.0;2.6;-0.2;64.2937154253
437.0;2.6;-0.6;63.4749270928
438.0;2.6;-1.0;62.718845385
439.0;2.6;-1.4;61.5946616333
440.0;2.6;-1.8;61.4169944884
441.0;2.6;-2.2;61.6356809123
442.0;2.6;-2.6;61.8103065205
443.0;2.6;-3.0;61.8089654736
444.0;2.6;-3.4;61.8089575485
445.0;2.6;-3.8;61.8091262572
446.0;3.0;-0.2;62.8428098514
447.0;3.0;-0.6;61.7378431986
448.0;3.0;-1.0;61.077885918
449.0;3.0;-1.4;61.1374533865
450.0;3.0;-1.8;61.4280220648
451.0;3.0;-2.2;61.6349058102
452.0;3.0;-2.6;61.8089407344
453.0;3.0;-3.0;61.9446907591
454.0;3.0;-3.4;61.9449365332
455.0;3.0;-3.8;61.9449919236
456.0;3.4;-0.2;61.3747111212
457.0;3.4;-0.6;60.4325059956
458.0;3.4;-1.0;60.7086028237
459.0;3.4;-1.4;61.1469366486
460.0;3.4;-1.8;61.4173736494
461.0;3.4;-2.2;61.6316300222
462.0;3.4;-2.6;61.808960167
463.0;3.4;-3.0;61.9449774487
464.0;3.4;-3.4;62.0359441306
465.0;3.4;-3.8;62.0355666443
466.0;3.8;-0.2;60.3268823221
467.0;3.8;-0.6;60.3893146273
468.0;3.8;-1.0;60.8132761173
469.0;3.8;-1.4;61.1421030007
470.0;3.8;-1.8;61.407887478
471.0;3.8;-2.2;61.6292517326
472.0;3.8;-2.6;61.8091167111
473.0;3.8;-3.0;61.9448825647
474.0;3.8;-3.4;62.0356548709
475.0;3.8;-3.8;62.0816288958
476.0;0.05;0.05;309.240154083
477.0;0.05;0.15;312.044859901
478.0;0.05;0.25;309.55785679
479.0;0.05;0.35;289.742321988
480.0;0.05;0.45;262.704009795
481.0;0.05;0.55;237.108040678
482.0;0.05;0.65;213.25816995
483.0;0.05;0.75;189.684468517
484.0;0.05;0.85;166.369855966
485.0;0.05;0.95;144.414726731
486.0;0.05;1.05;124.508552709
487.0;0.05;1.15;107.846017748
488.0;0.05;1.25;96.4715252726
489.0;0.05;1.35;89.2752878467
490.0;0.05;1.45;81.368400433
491.0;0.05;1.55;70.9884164547
492.0;0.05;1.65;63.1884645844
493.0;0.05;1.75;61.2413827529
494.0;0.05;1.85;62.0467606367
495.0;0.05;1.95;62.6713246194
496.0;0.15;0.05;311.836255022
497.0;0.15;0.15;309.302534296
498.0;0.15;0.25;292.54009156
499.0;0.15;0.35;266.499882807
500.0;0.15;0.45;237.846395135
501.0;0.15;0.55;212.300245971
502.0;0.15;0.65;189.269879905
503.0;0.15;0.75;167.368221496
504.0;0.15;0.85;146.393683068
505.0;0.15;0.95;126.483090393
506.0;0.15;1.05;108.000968663
507.0;0.15;1.15;93.4410116274
508.0;0.15;1.25;85.846892089
509.0;0.15;1.35;83.1358689153
510.0;0.15;1.45;78.5686090629
511.0;0.15;1.55;69.6818215654
512.0;0.15;1.65;62.1480033795
513.0;0.15;1.75;60.2260859051
514.0;0.15;1.85;61.4728731584
515.0;0.15;1.95;62.4394350777
516.0;0.25;0.05;309.597173679
517.0;0.25;0.15;292.51915374
518.0;0.25;0.25;261.825464829
519.0;0.25;0.35;235.048542965
520.0;0.25;0.45;212.877306785
521.0;0.25;0.55;189.304575081
522.0;0.25;0.65;165.95205963
523.0;0.25;0.75;145.06161776
524.0;0.25;0.85;127.218784295
525.0;0.25;0.95;111.358197436
526.0;0.25;1.05;97.3704022977
527.0;0.25;1.15;86.4312833534
528.0;0.25;1.25;78.6152768839
529.0;0.25;1.35;73.4217174064
530.0;0.25;1.45;71.2549766949
531.0;0.25;1.55;71.9093462146
532.0;0.25;1.65;72.7273873706
533.0;0.25;1.75;72.1260262083
534.0;0.25;1.85;71.5274004328
535.0;0.25;1.95;71.0386935076
536.0;0.35;0.05;289.922881947
537.0;0.35;0.15;266.509378907
538.0;0.35;0.25;235.030092085
539.0;0.35;0.35;209.10466996
540.0;0.35;0.45;187.750138949
541.0;0.35;0.55;166.920739861
542.0;0.35;0.65;145.585845941
543.0;0.35;0.75;126.39343491
544.0;0.35;0.85;110.583297795
545.0;0.35;0.95;97.8463068783
546.0;0.35;1.05;87.8049225924
547.0;0.35;1.15;80.0696103666
548.0;0.35;1.25;73.8787372235
549.0;0.35;1.35;69.6746948876
550.0;0.35;1.45;69.2951927392
551.0;0.35;1.55;72.505778209
552.0;0.35;1.65;75.7068715337
553.0;0.35;1.75;76.2505760371
554.0;0.35;1.85;75.1262075001
555.0;0.35;1.95;73.898932487
556.0;0.45;0.05;262.771938452
557.0;0.45;0.15;237.8525649
558.0;0.45;0.25;212.875435467
559.0;0.45;0.35;187.759441769
560.0;0.45;0.45;165.839095676
561.0;0.45;0.55;146.22505984
562.0;0.45;0.65;127.83033034
563.0;0.45;0.75;111.091764875
564.0;0.45;0.85;97.0384137235
565.0;0.45;0.95;86.446956506
566.0;0.45;1.05;79.205738344
567.0;0.45;1.15;74.5383044535
568.0;0.45;1.25;71.9734600932
569.0;0.45;1.35;71.144631713
570.0;0.45;1.45;71.2188158503
571.0;0.45;1.55;71.3319259234
572.0;0.45;1.65;71.3625659317
573.0;0.45;1.75;71.2372920321
574.0;0.45;1.85;70.5451942815
575.0;0.45;1.95;69.7714142003
576.0;0.55;0.05;237.04293108
577.0;0.55;0.15;212.271252731
578.0;0.55;0.25;189.309602967
579.0;0.55;0.35;166.939156847
580.0;0.55;0.45;146.234577914
581.0;0.55;0.55;128.037559648
582.0;0.55;0.65;111.870209189
583.0;0.55;0.75;97.7448033609
584.0;0.55;0.85;86.4073353366
585.0;0.55;0.95;78.5363228785
586.0;0.55;1.05;73.969227376
587.0;0.55;1.15;71.9310533454
588.0;0.55;1.25;71.7474038691
589.0;0.55;1.35;72.3419318894
590.0;0.55;1.45;72.0140008878
591.0;0.55;1.55;70.1429555058
592.0;0.55;1.65;68.113508483
593.0;0.55;1.75;67.0740776557
594.0;0.55;1.85;66.5777367054
595.0;0.55;1.95;66.2347478322
596.0;0.65;0.05;213.210147679
597.0;0.65;0.15;189.244071882
598.0;0.65;0.25;165.953487257
599.0;0.65;0.35;145.599327406
600.0;0.65;0.45;127.837307389
601.0;0.65;0.55;111.869676379
602.0;0.65;0.65;97.8804531482
603.0;0.65;0.75;86.627566899
604.0;0.65;0.85;78.8382667262
605.0;0.65;0.95;74.2731886276
606.0;0.65;1.05;72.2059062334
607.0;0.65;1.15;71.7120225554
608.0;0.65;1.25;71.8065945291
609.0;0.65;1.35;71.7216338332
610.0;0.65;1.45;71.0550197457
611.0;0.65;1.55;69.867077831
612.0;0.65;1.65;68.5866652879
613.0;0.65;1.75;67.6473050303
614.0;0.65;1.85;67.1481314831
615.0;0.65;1.95;66.7636051732
616.0;0.75;0.05;189.70544501
617.0;0.75;0.15;167.371003577
618.0;0.75;0.25;145.063960893
619.0;0.75;0.35;126.398243954
620.0;0.75;0.45;111.091063153
621.0;0.75;0.55;97.7395826641
622.0;0.75;0.65;86.6241718219
623.0;0.75;0.75;78.853533575
624.0;0.75;0.85;74.4474417301
625.0;0.75;0.95;72.5657026971
626.0;0.75;1.05;72.0398743414
627.0;0.75;1.15;71.9456983129
628.0;0.75;1.25;71.5373191499
629.0;0.75;1.35;70.7145883109
630.0;0.75;1.45;70.0602916436
631.0;0.75;1.55;69.8940652022
632.0;0.75;1.65;69.7810101279
633.0;0.75;1.75;69.384027432
634.0;0.75;1.85;68.9181609508
635.0;0.75;1.95;68.3731396066
636.0;0.85;0.05;166.402769577
637.0;0.85;0.15;146.404984233
638.0;0.85;0.25;127.222486928
639.0;0.85;0.35;110.585700731
640.0;0.85;0.45;97.0363320529
641.0;0.85;0.55;86.4020921285
642.0;0.85;0.65;78.8346165874
643.0;0.85;0.75;74.4467236955
644.0;0.85;0.85;72.6573661398
645.0;0.85;0.95;72.1593542582
646.0;0.85;1.05;71.9944826249
647.0;0.85;1.15;71.635630632
648.0;0.85;1.25;70.9752203882
649.0;0.85;1.35;70.1968747128
650.0;0.85;1.45;69.6661303071
651.0;0.85;1.55;69.5128709989
652.0;0.85;1.65;69.4465383374
653.0;0.85;1.75;69.174193559
654.0;0.85;1.85;68.6921882996
655.0;0.85;1.95;68.1123501345
656.0;0.95;0.05;144.416838259
657.0;0.95;0.15;126.480520395
658.0;0.95;0.25;111.358979221
659.0;0.95;0.35;97.8496827204
660.0;0.95;0.45;86.4477291776
661.0;0.95;0.55;78.5344380453
662.0;0.95;0.65;74.2720613876
663.0;0.95;0.75;72.5664319949
664.0;0.95;0.85;72.1602661267
665.0;0.95;0.95;72.0868243567
666.0;0.95;1.05;71.6768935301
667.0;0.95;1.15;71.0196474903
668.0;0.95;1.25;70.3949889215
669.0;0.95;1.35;69.8980169925
670.0;0.95;1.45;69.3958555665
671.0;0.95;1.55;68.8165446794
672.0;0.95;1.65;68.2514278326
673.0;0.95;1.75;67.7343131887
674.0;0.95;1.85;67.1676405327
675.0;0.95;1.95;66.6190470831
676.0;1.05;0.05;124.495308206
677.0;1.05;0.15;107.990077634
678.0;1.05;0.25;97.3682892416
679.0;1.05;0.35;87.8083325862
680.0;1.05;0.45;79.2078593808
681.0;1.05;0.55;73.9690565839
682.0;1.05;0.65;72.2061091079
683.0;1.05;0.75;72.0413651197
684.0;1.05;0.85;71.9959225003
685.0;1.05;0.95;71.6773665646
686.0;1.05;1.05;71.1486941499
687.0;1.05;1.15;70.4920151108
688.0;1.05;1.25;69.9516306443
689.0;1.05;1.35;69.5060212694
690.0;1.05;1.45;68.9653246824
691.0;1.05;1.55;68.2515163531
692.0;1.05;1.65;67.5037815359
693.0;1.05;1.75;66.8430791523
694.0;1.05;1.85;66.2493894142
695.0;1.05;1.95;65.7138955459
696.0;1.15;0.05;107.842387055
697.0;1.15;0.15;93.435628838
698.0;1.15;0.25;86.4308494899
699.0;1.15;0.35;80.0725972326
700.0;1.15;0.45;74.5393714346
701.0;1.15;0.55;71.9300027031
702.0;1.15;0.65;71.7115330352
703.0;1.15;0.75;71.9465381068
704.0;1.15;0.85;71.6365403176
705.0;1.15;0.95;71.0197649089
706.0;1.15;1.05;70.4917719446
707.0;1.15;1.15;70.0698913232
708.0;1.15;1.25;69.5691167986
709.0;1.15;1.35;69.0405885606
710.0;1.15;1.45;68.4902335271
711.0;1.15;1.55;67.918175224
712.0;1.15;1.65;67.3283350036
713.0;1.15;1.75;66.7445924445
714.0;1.15;1.85;66.2033005226
715.0;1.15;1.95;65.6685642431
716.0;1.25;0.05;96.4783015406
717.0;1.25;0.15;85.8483015373
718.0;1.25;0.25;78.6172948434
